Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1uhl3sqIBe3lDViAzZWFLA,4c3qTot194QRzZbjM3Q8ov,A Time,A Time,Islandeer,1/12/2023,175537,4,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-12-03T02:55:18Z,singaporean indie,0.707,0.755,10,-7.017,1,0.0388,0.00325,0.0564,0.173,0.695,121.045,4
5SXfdFXyLKxbGHRBsrvPHp,4c3qTot194QRzZbjM3Q8ov,All In,All In,Islandeer,15/3/2024,145903,7,spotify:user:lqajbhk923vkq8v464wumf1yb,2024-03-14T19:31:13Z,singaporean indie,0.74,0.611,8,-8.546,1,0.0283,0.136,0.00118,0.102,0.774,113.519,4
4n8uETbPLqNreKuXEmmOPs,4c3qTot194QRzZbjM3Q8ov,Sunshine Street,All In,Islandeer,15/3/2024,209705,3,spotify:user:lqajbhk923vkq8v464wumf1yb,2024-03-14T19:31:13Z,singaporean indie,0.679,0.734,9,-9.406,1,0.0314,0.4,0.0539,0.0784,0.826,101.943,4
21jmqjMb1ftfZieALos4x8,4c3qTot194QRzZbjM3Q8ov,Where Were We? (2014 demo),All In,Islandeer,15/3/2024,179875,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2024-03-14T19:31:13Z,singaporean indie,0.515,0.716,7,-8.616,1,0.0307,0.406,0.00235,0.113,0.84,129.975,3
2kfG4k5oM6TIxt7VP0J6Jr,2fPotAbyJW12ngcBGKw8J8,Excuses,Excuses,jun,4/8/2023,272852,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-30T07:10:10Z,,0.578,0.295,7,-15.235,1,0.0357,0.854,0.00323,0.344,0.357,110.144,4
6rFMjX2SIW6QlgM2JG3uZD,7jsU0zbfhjktw9lamotkR2,Lost In Your Eyes,Lost In Your Eyes,Maneloren,22/2/2019,269531,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-30T06:55:11Z,,0.529,0.885,6,-6.939,0,0.0789,0.000847,0.00149,0.114,0.575,128.017,4
2xtgNgMg3qKPWumE2UlIzh,7jsU0zbfhjktw9lamotkR2,Silver Lining,Silver Lining,Maneloren,6/9/2019,248888,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-30T06:55:17Z,,0.437,0.873,11,-5.675,0,0.0401,0.000607,0.0268,0.0402,0.377,135.017,4
17JAN9FMvZNOdHuA8KxN76,0IyYqt0ZL4uXTrG7p3KWG8,Island,Cherry Blossoms,mattgnaw,11/11/2022,229022,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.68,0.4,7,-14.082,1,0.0428,0.595,0.0381,0.125,0.597,156.017,4
4mFWQXRD3YKEOPTWtEMhPS,0IyYqt0ZL4uXTrG7p3KWG8,idwbwu,Cherry Blossoms,mattgnaw,11/11/2022,233477,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.62,0.417,0,-11.797,1,0.0342,0.334,0,0.137,0.323,122.957,4
7fMB8tfxhKrVgOWQ3bkJyb,0IyYqt0ZL4uXTrG7p3KWG8,Envy,Cherry Blossoms,mattgnaw,11/11/2022,223839,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.689,0.495,9,-12.64,0,0.0769,0.27,0,0.107,0.297,119.979,4
